kanji	on	kun	en	bg
数	すう す さく そく しゅ	かず かぞ.える しばしば せ.める わずらわ.しい	Number | Strength | Fate | Law | Figures	число | брой | броя
記	き	しる.す	Scribe | Account | Narrative	записвам | летопис
院	いん		Inst. | Institution | Temple | Mansion | School	институция | камара (парламент) | болница | храм
女	じょ にょ にょう	おんな め	Woman | Female	жена | женски
初	しょ	はじ.め はじ.めて はつ はつ- うい- -そ.める -ぞ.め	First Time | Beginning	пръв | начало
北	ほく	きた	North	север
午	ご	うま	Noon | Sign Of The Horse | 11am-1pm | Seventh Sign Of Chinese Zodiac	пладне | кон (зодиакален знак)
指	し	ゆび さ.す -さ.し	Finger | Point To | Indicate | Put Into | Play (chess) | Measure (ruler)	пръст | соча | посочвам
権	けん ごん	おもり かり はか.る	Authority | Power | Rights	власт | право | авторитет
心	しん	こころ -ごころ	Heart | Mind | Spirit | Heart Radical (no. 61)	сърце | ум | дух
界	かい		World | Boundary	свят | граница | сфера
支	し	ささ.える つか.える か.う	Branch | Support | Sustain | Branch Radical (no. 65)	клон | поддържам
第	だい てい		No. | Residence	наставка за поредни числа | резиденция
産	さん	う.む う.まれる うぶ- む.す	Products | Bear | Give Birth | Yield | Childbirth | Native | Property	раждам | произвеждам | имущество | продукция
結	けつ けち	むす.ぶ ゆ.う ゆ.わえる	Tie | Bind | Contract | Join | Organize | Do Up Hair | Fasten	връзвам | сключвам | обединявам
百	ひゃく びゃく	もも	Hundred	сто
派	は		Faction | Group | Party | Clique | Sect | School	фракция | групировка | изпращам
点	てん	つ.ける つ.く た.てる さ.す とぼ.す とも.す ぼち	Spot | Point | Mark | Speck | Decimal Point	точка | място | пункт
教	きょう	おし.える おそ.わる	Teach | Faith | Doctrine	уча (някого) | религия | учение
報	ほう	むく.いる	Report | News | Reward | Retribution	съобщавам | новина | доклад | възнаграждение
済	さい せい	す.む -ず.み -ずみ す.まない す.ます -す.ます すく.う な.す わたし わた.る	Settle (debt, Etc.) | Relieve (burden) | Finish | Come To An End | Excusable | Need Not	уреждам | приключвам | облекчавам
書	しょ	か.く -が.き -がき	Write	пиша | книга | документ
府	ふ		Borough | Urban Prefecture | Govt Office | Representative Body | Storehouse	градска префектура | правителствена служба | столица
活	かつ	い.きる い.かす い.ける	Lively | Resuscitation | Being Helped | Living	жив | активен | оживен
原	げん	はら	Meadow | Original | Primitive | Field | Plain | Prairie | Tundra | Wilderness	равнина | поле | първоначален | произход
先	せん	さき ま.ず	Before | Ahead | Previous | Future | Precedence	преди | напред | предишен | бъдещ
共	きょう	とも とも.に -ども	Together | Both | Neither | All | And | Alike | With	заедно | общ | и двата
得	とく	え.る う.る	Gain | Get | Find | Earn | Acquire | Can | May | Able To | Profit | Advantage | Benefit	печеля | придобивам | полза
解	かい げ	と.く と.かす と.ける ほど.く ほど.ける わか.る さと.る	Unravel | Notes | Key | Explanation | Understanding | Untie | Undo | Solve | Answer | Cancel | Absolve | Explain | Minute	разбирам | разрешавам | развързвам | обяснявам
名	めい みょう	な -な	Name | Noted | Distinguished | Reputation	име | известен | репутация
交	こう	まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す こもごも	Mingle | Mixing | Association | Coming & Going	размяна | общуване | смесвам
資	し		Assets | Resources | Capital | Funds | Data | Be Conducive To | Contribute To	средства | капитал | ресурси
予	よ しゃ	あらかじ.め	Beforehand | Previous | Myself | I	предварително | предишен
川	せん	かわ	Stream | River | River Or Three-stroke River Radical (no. 47)	река
向	こう	む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ むか.い	Yonder | Facing | Beyond | Confront | Defy | Tend Toward | Approach	обръщам се | посока | насочвам се
際	さい	きわ -ぎわ	Occasion | Side | Edge | Verge | Dangerous | Adventurous | Indecent | Time | When	случай | граница | момент
査	さ		Investigate	разследвам | проверявам
勝	しょう	か.つ -が.ち まさ.る すぐ.れる かつ	Victory | Win | Prevail | Excel	побеждавам | победа | превъзхождам
面	めん べん	おも おもて つら	Mask | Face | Features | Surface	лице | маска | повърхност | страна (аспект)
委	い	ゆだ.ねる	Committee | Entrust To | Leave To | Devote | Discard	поверявам | комитет | възлагам
告	こく	つ.げる	Revelation | Tell | Inform | Announce	съобщавам | обявявам
軍	ぐん	いくさ	Army | Force | Troops | War | Battle	армия | войска
文	ぶん もん	ふみ あや	Sentence | Literature | Style | Art | Decoration | Figures | Plan | Literary Radical (no. 67)	писменост | изречение | литература | стил
反	はん ほん たん ほ	そ.る そ.らす かえ.す かえ.る -かえ.る	Anti-	анти- | противоположен | обръщам се
元	げん がん	もと	Beginning | Former Time | Origin	произход | начало | бивш
重	じゅう ちょう	え おも.い おも.り おも.なう かさ.ねる かさ.なる おも	Heavy | Important | Esteem | Respect | Heap Up | Pile Up | Nest Of Boxes | -fold	тежък | важен | трупам
近	きん こん	ちか.い	Near | Early | Akin | Tantamount	близък | скорошен
千	せん	ち	Thousand	хиляда
考	こう	かんが.える かんが.え	Consider | Think Over	мисля | обмислям
判	はん ばん	わか.る	Judgement | Signature | Stamp | Seal	печат | съдя | преценка
認	にん	みと.める したた.める	Acknowledge | Witness | Discern | Recognize | Appreciate | Believe	признавам | разпознавам
画	が かく え かい	えが.く かく.する かぎ.る はかりごと はか.る	Brush-stroke | Picture	картина | план | рисувам
海	かい	うみ	Sea | Ocean	море | океан
参	さん しん	まい.る まい- まじわる みつ	Nonplussed | Three (in Documents) | Going | Coming | Visiting | Visit | Be Defeated | Die | Be Madly In Love | Participate | Take Part In	участвам | посещавам (храм) | три (в документи)
売	ばい	う.る う.れる	Sell	продавам
利	り	き.く	Profit | Advantage | Benefit	полза | изгода | печалба
組	そ	く.む くみ -ぐみ	Association | Braid | Plait | Construct | Assemble | Unite | Cooperate | Grapple	организирам | сглобявам | група | клас
知	ち	し.る し.らせる	Know | Wisdom	знам | знание | мъдрост
案	あん	つくえ	Plan | Suggestion | Draft | Ponder | Fear | Proposition | Idea | Expectation | Worry | Table | Bench	предложение | план | проект | идея
道	どう とう	みち いう	Road-way | Street | District | Journey | Course | Moral | Teachings	път | улица | учение
信	しん		Faith | Truth | Fidelity | Trust	вярвам | доверие | съобщение
策	さく		Scheme | Plan | Policy | Step | Means	план | мярка | политика | средство
集	しゅう	あつ.まる あつ.める つど.う	Gather | Meet | Congregate | Swarm | Flock	събирам се | събирам
在	ざい	あ.る	Exist | Outskirts | Suburbs | Located In	съществувам | намирам се | покрайнини
件	けん	くだん	Affair | Case | Matter | Item	случай | дело | работа
団	だん とん	かたまり まる.い	Group | Association	група | обединение
別	べつ	わか.れる わ.ける	Separate | Branch Off | Diverge | Fork | Another | Extra | Specially	отделям | друг | специално
物	ぶつ もつ	もの もの-	Thing | Object | Matter	нещо | предмет
側	そく	かわ がわ そば	Side | Lean | Oppose | Regret	страна
任	にん	まか.せる まか.す	Responsibility | Duty | Term | Entrust To | Appoint	длъжност | отговорност | поверявам
引	いん	ひ.く ひ.き ひ.き- -び.き ひ.ける	Pull | Tug | Jerk | Admit | Install | Quote | Refer To	дърпам | тегля | цитирам
使	し	つか.う つか.い -つか.い -づか.い	Use | Send On A Mission | Order | Messenger | Envoy | Ambassador | Cause	използвам | пратеник | посланик
求	きゅう ぐ	もと.める	Request | Want | Wish For | Require | Demand	търся | изисквам | искане
所	しょ	ところ -ところ どころ とこ	Place | Extent	място
次	じ し	つ.ぐ つぎ	Next | Order | Sequence	следващ | ред
水	すい	みず みず-	Water	вода
半	はん	なか.ば	Half | Middle | Odd Number | Semi- | Part-	половина
品	ひん ほん	しな	Goods | Refinement | Dignity | Article | Counter For Meal Courses	артикул | стока | изящество
昨	さく		Yesterday | Previous	вчера | предишен
論	ろん		Argument | Discourse	спор | теория | разсъждение
計	けい	はか.る はか.らう	Plot | Plan | Scheme | Measure	план | изчислявам | мярка
死	し	し.ぬ し.に-	Death | Die	умирам | смърт
官	かん		Bureaucrat | The Government | Organ	правителство | чиновник | власт
増	ぞう	ま.す ま.し ふ.える ふ.やす	Increase | Add | Augment | Gain | Promote	увеличавам се
係	けい	かか.る かかり -がかり かか.わる	Person In Charge | Connection | Duty | Concern Oneself	връзка | отговорник
感	かん		Emotion | Feeling | Sensation	усещане | чувство
特	とく		Special	специален
情	じょう せい	なさ.け	Feelings | Emotion | Passion | Sympathy | Circumstances | Facts	чувство | емоция | обстоятелства
投	とう	な.げる -な.げ	Throw | Discard | Abandon | Launch Into | Join | Invest In | Hurl | Give Up | Sell At A Loss	хвърлям | инвестирам
示	じ し	しめ.す	Show | Indicate | Point Out | Express | Display	показвам
変	へん	か.わる か.わり か.える	Unusual | Change | Strange	промяна | необичаен
打	だ だあす	う.つ う.ち- ぶ.つ	Strike | Hit | Knock | Pound | Dozen	удрям
男	だん なん	おとこ お	Male	мъж
基	き	もと もとい	Fundamentals | Radical (chem) | Counter For Machines | Foundation	основа | база
私	し	わたくし わたし	Private | I | Me	аз | частен
各	かく	おのおの	Each | Every | Either	всеки
始	し	はじ.める -はじ.める はじ.まる	Commence | Begin	започвам
島	とう	しま	Island	остров
直	ちょく じき じか	ただ.ちに なお.す -なお.す なお.る なお.き す.ぐ	Straightaway | Honesty | Frankness | Fix | Repair	направо | поправям | честност
両	りょう	てる ふたつ	Both | Old Japanese Coin | Counter For Carriages (e.g., In A Train) | Two	и двата | двама
朝	ちょう	あさ	Morning | Dynasty | Regime | Epoch | Period | (north) Korea	сутрин | династия
革	かく	かわ	Leather | Skin | Reform | Become Serious	кожа | реформа
価	か け	あたい	Value | Price	цена | стойност
式	しき		Style | Ceremony | Rite | Function | Method | System | Form | Expression	стил | церемония
確	かく こう	たし.か たし.かめる	Assurance | Firm | Tight | Hard | Solid | Confirm | Clear | Evident	сигурен | проверявам
村	そん	むら	Village | Town	село
提	てい ちょう だい	さ.げる	Propose | Take Along | Carry In Hand	предлагам | представям
運	うん	はこ.ぶ	Carry | Luck | Destiny | Fate | Lot | Transport | Progress | Advance	нося | пренасям | съдба | късмет
終	しゅう	お.わる -お.わる おわ.る お.える つい つい.に	End | Finish	край | завършвам
挙	きょ	あ.げる あ.がる こぞ.る	Raise | Plan | Project | Behavior | Actions	вдигам | номинирам | значимо дело
果	か	は.たす はた.す -は.たす は.てる -は.てる は.て	Fruit | Reward | Carry Out | Achieve | Complete | End | Finish | Succeed	плод | резултат
西	せい さい す	にし	West | Spain	запад
勢	せい ぜい	いきお.い はずみ	Forces | Energy | Military Strength	сила | мощ | енергия
減	げん	へ.る へ.らす	Dwindle | Decrease | Reduce | Decline | Curtail | Get Hungry	намалявам
台	だい たい	うてな われ つかさ	Pedestal | A Stand | Counter For Machines And Vehicles	стойка | поставка | брояч за машини и превозни средства
広	こう	ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる	Wide | Broad | Spacious	широк
容	よう	い.れる	Contain | Form | Looks	вид | съдържам
必	ひつ	かなら.ず	Invariably | Certain | Inevitable	непременно | сигурно
応	おう よう -のう	あた.る まさに こた.える	Apply | Answer | Yes | Ok | Reply | Accept	отговарям | реагирам
演	えん		Performance | Act | Play | Render | Stage	изпълнявам | играя (роля)
電	でん		Electricity	електричество
歳	さい せい	とし とせ よわい	Year-end | Age | Occasion | Opportunity	година | възраст
住	じゅう ぢゅう ちゅう	す.む す.まう -ず.まい	Dwell | Reside | Live | Inhabit	живея
争	そう	あらそ.う いか.でか	Contend | Dispute | Argue	споря | боря се | конфликт
談	だん		Discuss | Talk	разговор
能	のう	よ.く	Ability | Talent | Skill | Capacity	способност | функция | но (японски театър)
無	む ぶ	な.い	Nothingness | None | Ain't | Nothing | Nil | Not	без | нищо
再	さい さ	ふたた.び	Again | Twice | Second Time	отново | повторно
位	い	くらい ぐらい	Rank | Grade | Throne | Crown | About | Some	ранг | позиция
置	ち	お.く -お.き	Placement | Put | Set | Deposit | Leave Behind | Keep | Employ | Pawn	поставям
企	き	くわだ.てる たくら.む	Undertake | Scheme | Design | Attempt | Plan	проект | план | опит
真	しん	ま ま- まこと	True | Reality | Buddhist Sect	истински
流	りゅう る	なが.れる なが.れ なが.す -なが.す	Current | A Sink | Flow | Forfeit	тека | поток | стил
格	かく こう きゃく ごう		Status | Rank | Capacity | Character | Case (law, Grammar)	норма | статус | ранг
有	ゆう う	あ.る	Possess | Have | Exist | Happen | Occur | Approx	имам
疑	ぎ	うたが.う	Doubt | Distrust | Be Suspicious | Question	съмнение
口	こう く	くち	Mouth	уста
過	か	す.ぎる -す.ぎる -す.ぎ す.ごす あやま.つ あやま.ち よ.ぎる	Overdo | Exceed | Go Beyond | Error	минавам | надвишавам | прекарвам (време) | грешка
局	きょく	つぼね	Bureau | Board | Office | Affair | Conclusion | Court Lady | Lady-in-waiting | Her Apartment	бюро | служба
少	しょう	すく.ない すこ.し	Few | Little	малко
放	ほう	はな.す -っぱな.し はな.つ はな.れる こ.く ほう.る	Set Free | Release | Fire | Shoot | Emit | Banish | Liberate	пускам | освобождавам
税	ぜい		Tax | Duty	данък
検	けん	しら.べる	Examination | Investigate	изследвам | проверявам
藤	とう どう	ふじ	Wisteria	глициния
町	ちょう	まち	Town | Village | Block | Street	град (малък) | квартал
常	じょう	つね とこ-	Usual | Ordinary | Normal | Common | Regular | Continually | Always | Long-lasting	обичаен | нормален | винаги
校	こう きょう		Exam | School | Printing | Proof | Correction	училище
料	りょう		Fee | Materials	такса | материали
沢	たく	さわ うるお.い うるお.す つや	Swamp | Marsh | Brilliance | Grace	блато | поток
裁	さい	た.つ さば.く	Tailor | Judge | Decision | Cut Out (pattern)	кроя | съдя
状	じょう		Status Quo | Conditions | Circumstances | Form | Appearance	форма | състояние | писмо
工	こう く ぐ		Craft | Construction | Katakana E Radical (no. 48)	производство | строителство
建	けん こん	た.てる た.て -だ.て た.つ	Build	строя | построявам
語	ご	かた.る かた.らう	Word | Speech | Language	език | дума | реч
球	きゅう	たま	Ball | Sphere	топка | сфера
